user_name,window,if_score,lof_score,ae_score,if_norm,lof_norm,ae_norm,ensemble_score,if_pred,lof_pred,ae_pred,vote_count,majority_vote,ensemble_pred,is_attack,attack_id,attack_name
alice-dev,2026-02-15 04:20:00+00:00,-0.0460875755247953,1.3090179625632354,2.0638506,0.4818983777818628,0.003466551890591072,0.0005074495756808907,0.1700299602580631,0,1,1,2,1,0,False,0,normal
alice-dev,2026-02-15 04:35:00+00:00,-0.1409027086092595,1.5391311944850312,0.21908441,0.18722521179046,0.005732906087511557,4.5303286443679075e-05,0.06754893224322316,0,1,0,1,0,0,False,0,normal
alice-dev,2026-02-15 05:00:00+00:00,-0.1475252485295822,0.9931384696140356,0.12268184,0.16664321457396605,0.00035549735197231287,2.115275168218144e-05,0.058455894999583084,0,0,0,0,0,0,False,0,normal
alice-dev,2026-02-15 05:20:00+00:00,-0.1475252485295822,0.9931384696140356,0.12268184,0.16664321457396605,0.00035549735197231287,2.115275168218144e-05,0.058455894999583084,0,0,0,0,0,0,False,0,normal
alice-dev,2026-02-15 05:35:00+00:00,-0.1603805694037812,1.027960371965823,0.07551772,0.1266905405798156,0.0006984535734839437,9.337312326618141e-06,0.04458894914735282,0,0,0,0,0,0,False,0,normal
alice-dev,2026-02-15 05:40:00+00:00,-0.1475252485295822,0.9931384696140356,0.12268184,0.16664321457396605,0.00035549735197231287,2.115275168218144e-05,0.058455894999583084,0,0,0,0,0,0,False,0,normal
alice-dev,2026-02-15 05:45:00+00:00,-0.1475252485295822,0.9931384696140356,0.12268184,0.16664321457396605,0.00035549735197231287,2.115275168218144e-05,0.058455894999583084,0,0,0,0,0,0,False,0,normal
alice-dev,2026-02-15 06:40:00+00:00,-0.1203261882838311,1.0467001761933594,0.10850322,0.25117437467334097,0.0008830193787870443,1.76007586680941e-05,0.08822536814584524,0,0,0,0,0,0,False,0,normal
alice-dev,2026-02-15 07:30:00+00:00,-0.1616256027611441,0.9853891218278258,0.058399018,0.12282113799349846,0.0002791750704068536,5.0487772001923715e-06,0.04308662420552692,0,0,0,0,0,0,False,0,normal
alice-dev,2026-02-15 07:35:00+00:00,-0.1616256027611441,0.9853891218278258,0.058399018,0.12282113799349846,0.0002791750704068536,5.0487772001923715e-06,0.04308662420552692,0,0,0,0,0,0,False,0,normal
