user_name,window,if_score,if_pred
alice-dev,2026-02-15 03:30:00+00:00,-0.15953537787609173,0
alice-dev,2026-02-15 03:40:00+00:00,-0.15953537787609173,0
alice-dev,2026-02-15 04:20:00+00:00,-0.06257877744384632,0
alice-dev,2026-02-15 04:35:00+00:00,-0.15308055222170958,0
alice-dev,2026-02-15 04:55:00+00:00,-0.15308055222170958,0
alice-dev,2026-02-15 05:00:00+00:00,-0.16056968506488056,0
alice-dev,2026-02-15 05:20:00+00:00,-0.16056968506488056,0
alice-dev,2026-02-15 05:35:00+00:00,-0.16683356887664724,0
alice-dev,2026-02-15 05:40:00+00:00,-0.16056968506488056,0
alice-dev,2026-02-15 05:45:00+00:00,-0.16056968506488056,0
alice-dev,2026-02-15 05:55:00+00:00,-0.1275750433254808,0
alice-dev,2026-02-15 06:40:00+00:00,-0.12006720780930846,0
alice-dev,2026-02-15 07:30:00+00:00,-0.16364999334066838,0
alice-dev,2026-02-15 07:35:00+00:00,-0.16364999334066838,0
alice-dev,2026-02-15 07:45:00+00:00,-0.1591597177478985,0
alice-dev,2026-02-15 08:05:00+00:00,-0.12790372515455933,0
alice-dev,2026-02-15 08:20:00+00:00,-0.1708829615405169,0
alice-dev,2026-02-15 08:35:00+00:00,-0.13580414983106665,0
alice-dev,2026-02-15 09:05:00+00:00,-0.15262783627447918,0
alice-dev,2026-02-15 09:10:00+00:00,-0.1303204831665425,0
alice-dev,2026-02-15 09:20:00+00:00,-0.13677249252829843,0
alice-dev,2026-02-15 09:25:00+00:00,-0.14228122444629793,0
alice-dev,2026-02-15 09:35:00+00:00,-0.15317350645146072,0
alice-dev,2026-02-15 09:40:00+00:00,-0.1303204831665425,0
alice-dev,2026-02-15 09:50:00+00:00,-0.14228122444629793,0
alice-dev,2026-02-15 09:55:00+00:00,-0.1298969693384796,0
alice-dev,2026-02-15 10:10:00+00:00,-0.13812485963756016,0
alice-dev,2026-02-15 10:15:00+00:00,-0.13812485963756016,0
alice-dev,2026-02-15 10:20:00+00:00,-0.1581128355566478,0
alice-dev,2026-02-15 10:25:00+00:00,-0.13812485963756016,0
alice-dev,2026-02-15 10:30:00+00:00,-0.14072340530272592,0
alice-dev,2026-02-15 10:35:00+00:00,-0.1276449500431358,0
alice-dev,2026-02-15 10:40:00+00:00,-0.1276449500431358,0
alice-dev,2026-02-15 10:45:00+00:00,-0.13340649046187397,0
alice-dev,2026-02-15 10:50:00+00:00,-0.1447150865124331,0
alice-dev,2026-02-15 10:55:00+00:00,-0.1628231621168309,0
alice-dev,2026-02-15 11:00:00+00:00,-0.15875418413811826,0
alice-dev,2026-02-15 11:05:00+00:00,-0.14524005541290386,0
alice-dev,2026-02-15 11:10:00+00:00,-0.13539877804272366,0
alice-dev,2026-02-15 11:30:00+00:00,-0.17329451375736732,0
alice-dev,2026-02-15 11:40:00+00:00,-0.12668141305728164,0
alice-dev,2026-02-15 11:45:00+00:00,-0.17329451375736732,0
alice-dev,2026-02-15 12:00:00+00:00,-0.16786851982633355,0
alice-dev,2026-02-15 12:05:00+00:00,-0.17096188382853744,0
alice-dev,2026-02-15 12:10:00+00:00,-0.1436564189793998,0
alice-dev,2026-02-15 12:55:00+00:00,-0.12799591709862435,0
alice-dev,2026-02-15 13:00:00+00:00,-0.16506977159924002,0
alice-dev,2026-02-15 13:15:00+00:00,-0.16506977159924002,0
alice-dev,2026-02-16 03:30:00+00:00,-0.1488073656984304,0
alice-dev,2026-02-16 03:35:00+00:00,-0.1343016775301461,0
alice-dev,2026-02-16 03:40:00+00:00,-0.05370428798132876,0
alice-dev,2026-02-16 03:45:00+00:00,-0.11818427876578108,0
alice-dev,2026-02-16 03:50:00+00:00,-0.08847038616848352,0
alice-dev,2026-02-16 03:55:00+00:00,-0.12062828148423504,0
alice-dev,2026-02-16 04:00:00+00:00,-0.1107336519791775,0
alice-dev,2026-02-16 04:05:00+00:00,-0.1118886704963209,0
alice-dev,2026-02-16 04:10:00+00:00,-0.11977882575853166,0
alice-dev,2026-02-16 04:15:00+00:00,-0.13609696096639107,0
alice-dev,2026-02-16 04:20:00+00:00,-0.04834502868413715,0
alice-dev,2026-02-16 04:25:00+00:00,-0.11723713396938884,0
alice-dev,2026-02-16 04:30:00+00:00,-0.1434912500390395,0
alice-dev,2026-02-16 04:35:00+00:00,-0.12027404371498435,0
alice-dev,2026-02-16 04:40:00+00:00,-0.04979273420614827,0
alice-dev,2026-02-16 04:45:00+00:00,-0.06599309546231813,0
alice-dev,2026-02-16 04:50:00+00:00,-0.08335021306000262,0
alice-dev,2026-02-16 04:55:00+00:00,-0.13029174579550612,0
alice-dev,2026-02-16 05:00:00+00:00,-0.05776814263476249,0
alice-dev,2026-02-16 05:05:00+00:00,-0.08581043538417471,0
alice-dev,2026-02-16 05:10:00+00:00,-0.0928961381422777,0
alice-dev,2026-02-16 05:15:00+00:00,-0.12213056090033164,0
alice-dev,2026-02-16 05:20:00+00:00,-0.06953253247776536,0
alice-dev,2026-02-16 05:25:00+00:00,-0.04457977367854549,0
alice-dev,2026-02-16 05:30:00+00:00,-0.11057244803499916,0
alice-dev,2026-02-16 05:35:00+00:00,-0.03542411898723263,0
alice-dev,2026-02-16 05:40:00+00:00,-0.09648764703380652,0
alice-dev,2026-02-16 05:45:00+00:00,-0.08245426537377726,0
alice-dev,2026-02-16 05:50:00+00:00,-0.10822403171397588,0
alice-dev,2026-02-16 05:55:00+00:00,-0.09049480349196792,0
alice-dev,2026-02-16 06:00:00+00:00,-0.03199306428474369,0
alice-dev,2026-02-16 06:05:00+00:00,-0.047401200226662055,0
alice-dev,2026-02-16 06:10:00+00:00,0.012510403353722777,1
alice-dev,2026-02-16 06:15:00+00:00,-0.014697571482121474,0
alice-dev,2026-02-16 06:20:00+00:00,0.049002690477544686,1
alice-dev,2026-02-16 06:25:00+00:00,-0.06725623922969315,0
alice-dev,2026-02-16 06:30:00+00:00,-0.09423436626022641,0
alice-dev,2026-02-16 06:35:00+00:00,-0.1177477001305815,0
alice-dev,2026-02-16 06:40:00+00:00,-0.11261704892025698,0
alice-dev,2026-02-16 06:45:00+00:00,-0.09571341410672135,0
alice-dev,2026-02-16 06:50:00+00:00,-0.11113628416487309,0
alice-dev,2026-02-16 06:55:00+00:00,-0.03803305626196074,0
alice-dev,2026-02-16 07:00:00+00:00,-0.10536829586151875,0
alice-dev,2026-02-16 07:05:00+00:00,-0.1315950514540481,0
alice-dev,2026-02-16 07:10:00+00:00,-0.08263273360133389,0
alice-dev,2026-02-16 07:15:00+00:00,-0.13253053456744274,0
alice-dev,2026-02-16 07:20:00+00:00,-0.11227502253312921,0
alice-dev,2026-02-16 07:25:00+00:00,-0.13967059572097906,0
alice-dev,2026-02-16 07:30:00+00:00,-0.10385193394638825,0
alice-dev,2026-02-16 07:35:00+00:00,-0.08934464634836325,0
alice-dev,2026-02-16 07:40:00+00:00,-0.09441561944550547,0
alice-dev,2026-02-16 07:45:00+00:00,-0.11920703673440336,0
alice-dev,2026-02-16 07:50:00+00:00,-0.11654267966151477,0
alice-dev,2026-02-16 07:55:00+00:00,-0.11163367049468037,0
alice-dev,2026-02-16 08:00:00+00:00,-0.13512231749572917,0
alice-dev,2026-02-16 08:05:00+00:00,-0.13610153863833668,0
alice-dev,2026-02-16 08:10:00+00:00,-0.09310035993421473,0
alice-dev,2026-02-16 08:15:00+00:00,-0.10434611325179027,0
alice-dev,2026-02-16 08:20:00+00:00,-0.11976060130208632,0
alice-dev,2026-02-16 08:25:00+00:00,-0.12166994371777679,0
alice-dev,2026-02-16 08:30:00+00:00,-0.10500567695159568,0
alice-dev,2026-02-16 08:35:00+00:00,-0.10196694181501809,0
alice-dev,2026-02-16 08:40:00+00:00,-0.02387108360197021,0
