user_name,window,ae_score,ae_pred
alice-dev,2026-02-15 04:20:00+00:00,2.0638506,1
alice-dev,2026-02-15 04:35:00+00:00,0.21908441,0
alice-dev,2026-02-15 05:00:00+00:00,0.12268184,0
alice-dev,2026-02-15 05:20:00+00:00,0.12268184,0
alice-dev,2026-02-15 05:35:00+00:00,0.07551772,0
alice-dev,2026-02-15 05:40:00+00:00,0.12268184,0
alice-dev,2026-02-15 05:45:00+00:00,0.12268184,0
alice-dev,2026-02-15 06:40:00+00:00,0.10850322,0
alice-dev,2026-02-15 07:30:00+00:00,0.058399018,0
alice-dev,2026-02-15 07:35:00+00:00,0.058399018,0
alice-dev,2026-02-15 07:45:00+00:00,0.104549,0
alice-dev,2026-02-15 08:05:00+00:00,0.13835703,0
alice-dev,2026-02-15 08:35:00+00:00,0.34544048,0
alice-dev,2026-02-15 09:05:00+00:00,0.12908858,0
alice-dev,2026-02-15 09:35:00+00:00,0.17079899,0
alice-dev,2026-02-15 09:40:00+00:00,0.1271494,0
alice-dev,2026-02-15 09:50:00+00:00,0.12908858,0
alice-dev,2026-02-15 10:10:00+00:00,0.14107691,0
alice-dev,2026-02-15 10:15:00+00:00,0.14107691,0
alice-dev,2026-02-15 10:25:00+00:00,0.14107691,0
alice-dev,2026-02-15 10:30:00+00:00,0.1420775,0
alice-dev,2026-02-15 10:35:00+00:00,0.1420775,0
alice-dev,2026-02-15 10:40:00+00:00,0.1420775,0
alice-dev,2026-02-15 10:50:00+00:00,0.23929118,0
alice-dev,2026-02-15 10:55:00+00:00,0.18069136,0
alice-dev,2026-02-15 11:00:00+00:00,0.07792654,0
alice-dev,2026-02-15 11:05:00+00:00,0.1830541,0
alice-dev,2026-02-15 11:30:00+00:00,0.07792654,0
alice-dev,2026-02-15 11:40:00+00:00,0.15820153,0
alice-dev,2026-02-15 12:00:00+00:00,0.10936576,0
alice-dev,2026-02-15 12:05:00+00:00,0.067801066,0
alice-dev,2026-02-15 12:55:00+00:00,0.110779166,0
